address	lat,long	type	propertyType	subtype	buildingSize	spaceAvailablity	bill	rent	spaces	description
201 South Interstate 45, Wilmer, TX 75172	32.59632	-96.679474	Warehouse and Storage	Industrial	Distribution Warehouse	758,922 SF Bldg	549,258 - 758,922	$21,970.32 - $30,356.88	$3.25 /SF/Yr	2 Spaces	587 car parks; 230 trailer parking spaces; 200' truck courts; T5 lighting w/ motion sensors; 52' x 48' column. Interstate frontage and visibility.
201 Sundance Pkwy, Round Rock, TX 78681	30.481777	-97.681234	Retail	Retail	Retail Pad	7,000 SF Bldg	7,000 SF	$694.17	Negotiable	1 Space	Site is fully- developed outside of building curb line and is ready for construction of up to 7,000 SF. Located within the 330 acre La Frontera master- planned development at the NW quadrant of IH.
20207 Chasewood Park Drive Houston, TX 77070	29.988596	-95.568338	Office	Office	Medical Office	35,868 SF Bldg	1,891 - 2,475 SF	$200.13 - $261.94	$24.50 /SF/Yr	2 Spaces	Connected to St. Luke's Episcopal Hospital at The Vintage, a 106 bed, 212,000 SF, full service hospital. Convenient access to SH 249 in Northwest Houston.
20475 State Highway 249, Houston, TX 77070	29.991674	-95.576221	Office	Office	Office Building	78,235 SF Bldg	19,831 SF	$2,098.78	$15 /SF/Yr	1 Space	Centre at Cypress Creek is a Class A, wireless, 40-acre corporate campus. The complex is located on State Highway 249 at Compaq Center Drive in Northwest Houston.
2100 Airport Freeway, Bedford, TX 76022	32.83611	-97.132916	Retail (Mall)	Retail	Strip Center	3,675 SF GLA	300 - 2,200 SF	$48.50 - $355.67	Negotiable	3 Spaces	Pole Sign. SEC Hwy 183 & Central Dr.
2100 McKinney Ave, Dallas, TX 75201	32.791488	-96.802272	Office	Office	Office Building	351,858 SF Bldg	1,476 - 13,035 SF	$156.21 - $1,379.54	$38 /SF/Yr	8 Spaces	This building was awarded an Energy Star label repeatedly for its operating efficiency. Airport: Dallas Love Field - 15 min drive time / 6.2 mi; Dallas/Fort Worth International - 26 min drive time / 20.5 mi.
2101 E. Saint Elmo Road, Suite 345, Austin, TX 78744	30.209269	-97.746636	Warehouse and Storage	Industrial	Flex Space	113,136 SF Bldg	6,195 - 7,450 SF	$247.80 - $298.00	Negotiable	2 Spaces	Class A Industrial Flex Project. Southeast SubmarketAccessib to IH-35, Hwys 71 and 290 and Mopac (Loop 1). Close proximity to Austin.
2101 Pearl Street, Dallas, TX 75201	32.790761	-96.801442	Retail	Retail	Neighborhood Center	12,900 SF GLA	12,900 SF	$1,279.25	Negotiable	1 Space	The property to contain the following:PlazaValet Garage Access, Restaurant/ Dining TerraceTree. NEC Pearl Street and Woodall Rodgers.
2102 Blalock, Austin, TX 78758	30.41545	-97.698397	Office	Office	Office Building	5,992 SF Bldg	1,500 SF	$158.75	$16 /SF/Yr	1 Space	Move in ready with furniture available. Exterior Building signage available. Close proximity to Domain, Arboretum and numerous restaurants. Second away from St. David's North Austin Medical Center.
21202 State Highway 249, Houston, TX 77070	29.99764	-95.578825	Retail	Retail	Retail (Other)	10,000 SF Bldg	3,640 SF	$360.97	$17 /SF/Yr	1 Space	 
213 W. 4th Street Austin, TX 78701	30.266468	-97.74555	Office	Office	Creative/Loft	3,649 SF Bldg	3,649 SF	$386.19	$25 /SF/Yr	1 Space	Creative Office Space With Multiple Options. Warehouse District.
2150 Lakeside Boulevard Richardson, TX 75082	32.978171	-96.711044	Office	Office	Office Building	50,594 SF Bldg	13,337 SF	$1,411.50	$14.50 /SF/Yr	1 Space	True Plug-in-Play. All furniture and fixtures are included. Interior offices and open cubicles throughout. Area amenities include Collin Creek Mall, located 2 miles north in Plano, and numerous restaurants nearby.
221 CM Allen San Marcos, TX 78666	29.884358	-97.937832	Retail	Retail	Free Standing Bldg	5,250 SF Bldg	5,250 SF	$520.63	Negotiable	1 Space	Allows for a building up to 5,250 SF. Possibility for a drive-thru. .298 AC site located less than half a mile. Site is located within walking distance of the University.
222 W. Las Colinas Blvd, rving, TX 75062	32.865183	-96.948914	Office	Office	Office Building	848,591 SF Bldg	12,504 SF	$1,323.34	Negotiable	1 Space	Class AA Sublease on 8th floor on Lake Carolyn with views of Las Colinas. Located in Urban Center of Las Colinas.
2221 East Lamar Boulevard Arlington, TX 76006	32.762253	-97.070097	Office	Office	Office Building	145,326 SF Bldg	867 - 17,000 SF	$0.00 (Electricity included in rent)	$19.50 /SF/Yr	8 Spaces	Modified Gross Lease Rate is Rental Rate plus Electric. 145,326 SF Total (9 floors). Restaurants/hotels within walking distance; located in Arlington's premier Entertainment District.
2241 South Watson Road, Arlington, TX 76010	32.708959	-97.060745	Warehouse and Storage	Industrial	Distribution Warehouse	152,800 SF Bldg	31,925 SF	$1,277.00	Negotiable	1 Space	Sublease through June 30, 2018; freeway frontage w/ prominent signage; climate controlled. Centrally located between Dallas and Fort Worth.
2300 E. Bardin, Arlington, TX 76018	32.672888	-97.079917	Warehouse and Storage	Industrial	Warehouse	263,380 SF Bldg	263,380 SF	$10,535.20	Negotiable	1 Space	Arlington Commerce Center, Building D is a Modern Distribution Facility centrally located. A convenient location ÷ mile South of Interstate 20, with easy access to Interstate 35, Interstate 30.
2334 Franklin Drive Fort Worth, TX 76106	32.82597	-97.32267	Warehouse and Storage	Industrial	Warehouse	98,643 SF Bldg	18,471 SF	$738.84	$4.25 /SF/Yr	1 Space	18,471 SF available, 2,800 SF of Office Space, 20' clear height, 3 - dock high loading doors. Mark IV Industrial Park, North Fort Worth. Close to USPS bulk mail center. Easy access to I35W.
2400 - 2408 McKinney Ave Dallas, TX 75201	32.794844	-96.80188	Retail	Retail	Street Retail	2,600 SF Bldg	2,600 SF	$257.83	Negotiable	1 Space	Uptown Dallas corner. Rare opportunity in Uptown Dallas. Adjacent to future Whole Foods. SEQ McKinney Ave & Fairmount St.
2400 South 1st Street, Austin, TX 78704	30.242032	-97.760169	Retail	Retail	Free Standing Bldg	8,386 SF Bldg	1,426 - 4,983 SF	$141.41 - $494.15	Negotiable	3 Spaces	Hard corner. Available for single-tenant ground lease. Lit intersection in prime 78704 location.
2401 Fountain View, Houston, TX 77057	29.741613	-95.484565	Office	Office	Office Building	174,223 SF Bldg	8,942 SF	$946.36	$19 /SF/Yr	1 Space	Newly renovated main lobby, on-site deli, banking and mailing, surface parking and attached parking. Located in the heart of the Galleria.
2450 West Airfield Drive, Dallas, TX 75261	32.89354	-97.061176	Warehouse and Storage	Industrial	Distribution Warehouse	115,865 SF Bldg	37,167 SF	$1,486.68	Negotiable	1 Space	Cross-dock configuration; 50' x 60' column spacing; 200' shared truck court; Access on Airport (AOA) gate. DFW International Airport.
2500 Dallas Parkway, Plano, TX 75093	33.033471	-96.828043	Office	Office	Office Building	200,800 SF Bldg	19,144 - 34,631 SF	$2,026.07 - $3,665.11	$27 /SF/Yr	2 Spaces	Great Space in Prime Legacy/Tollway location. Direct Access to N. Dallas Tollway. Easy Access to PGBT (SH 190), Sam Rayburn Tollway (SH 121).
2500 N. Dallas Pkwy, Plano, TX 75093	33.033471	-96.828043	Office	Office	Office Building	200,800 SF Bldg	27,950 SF	$2,958.04	$26 /SF/Yr	1 Space	Beautifully finished out Class A sublease on N. Dallas Tollway available 2Q 2015. Located on the 6th Floor (top) of Parkway Centre V along the N. Dallas Tollway. The building offers food.
2502 Gravel Drive Fort Worth, TX 76118	32.795781	-97.216576	Warehouse and Storage	Industrial	Flex Space	40,500 SF Bldg	5,400 SF	$216.00	$6.25 /SF/Yr	1 Space	Premier Business Park, Class B Industrial Building on 12.42 acres. Built in 1981. Up to 5,400 SF available. Located at the Center of Riverbend Properties just off Trinity at E. Loop 820 N. in Fort Worth.
2508 Higlander Way Carrollton, TX  75006	32.983703	-96.84539	Office	Office	Creative/Loft	72,544 SF Bldg	3,529 - 9,370 SF	$373.49 - $991.66	$21 /SF/Yr	2 Spaces	One-Of-A-Kind Creative, Split-Level Building with High- End Finishes. Overlooks Golden Bear Golf Center with Nicklaus Golf Facilities.
2551-2555 South Shore Blvd, League City, TX 77573	29.541867	-95.064064	Office	Office	Creative/Loft	13,000 SF Bldg	992 - 1,884 SF	$104.99 - $199.39	$10 /SF/Yr	3 Spaces	Marine Center Building. William P. Hobby - 29 min drive time / 22.3 mi George Bush Intercontinental Airport/Houston.
25615 N. Hwy. 281, San Antonio, TX 78259	29.653719	-98.447042	Office	Office	Medical Office	35,888 SF Bldg	12,533 SF	$1,326.41	$16.50 /SF/Yr	1 Space	Premier Class A Medical Office Building with same strengths as retail properties. New construction. Adjacent to Baptist Health System ER with great access, convenience & visibility.
258 W 2nd Street Austin, TX 78701	30.265104	-97.746347	Retail	Retail	Retail (Other)	144,137 SF Bldg	1,989 - 2,166 SF	$197.24 - $214.80	Negotiable	4 Spaces	The 2nd Street District is made up of the best shopping, dining and entertainment in Austin. Heavy foot traffic during the week and on weekends. Over 450 apartments immediately in the area.
2600 South Shore Blvd, League City, TX 77573	29.54311	-95.063815	Office	Office	Office Building	120,000 SF Bldg	5,822 - 6,662 SF	$616.16 - $705.06	$25 /SF/Yr	3 Spaces	Covered parking adjacent to the building with a covered walkway to the building. Building located on a Marina overlooking the South Shore Harbour Marina.
2727 Allen Parkway, Houston, TX 77019	29.760256	-95.394711	Office	Office	Office Building	416,685 SF Bldg	2,101 - 15,899 SF	$222.36 - $1,682.64	$19 /SF/Yr	5 Spaces	Houston AIA Architectural Award winning design with a prestigious Midtown address,
2727 Allen Parkway, Houston, TX 77019	29.760256	-95.394711	Office	Office	Office Building	416,685 SF Bldg	5,532 SF	$585.47	$16 /SF/Yr	1 Space	Full service cafeteria and conference room. 24/7 Security. On- site Property Management. Allen Parkway Corridor.
2800 Post Oak Blvd Houston, TX 77056	29.73725	-95.461861	Office	Office	Office Building	1,476,970 SF Bldg	11,632 SF	$1,231.05	$22 /SF/Yr	1 Space	Houston's landmark trophy building, LEED certified Gold, On-site conference center, banking, food service, coffee. Skybridge connections to garage parking and Galleria Mall. Adjacent to iconic Waterwall Park.
2816 Shamrock Avenue, Fort Worth, TX 76107	32.763265	-97.357728	Office	Office	Creative/Loft	16,000 SF Bldg	7,200 SF	$762.00	$12.50 /SF/Yr	2 Spaces	2816 Shamrock Avenue, Space 1: 11 Offices, 2 Conference Rooms, Large Cubical. Direct access to Trinity River hike & bike trails. Close to West 7th Street, Cultural District, and Downtown.
2828 Routh Street, Dallas, TX 75201	32.798808	-96.804045	Office	Office	Office Building	128,986 SF Bldg	17,522 SF	$1,854.41	$28 /SF/Yr	1 Space	24 hour on-site security. Numerous restaurants and retail within walking distance (0.2 miles).
2910 Wingate Street, Fort Worth, TX 76107	32.756754	-97.359291	Office	Office	Office Building	12,000 SF Bldg	6,000 SF	$635.00	$21 /SF/Yr	1 Space	Premier Office Space for Lease; 6,000 SF available; zoned Commercial - (C2); Abundant Surface Parking. Exceptional Location & Visibility to West 7th & University.
2929 Carlisle St, Dallas, TX 75204	32.802721	-96.803991	Office	Office	Office Building	59,863 SF Bldg	894 - 6,649 SF	$94.62 - $703.69	$27 - 28 /SF/Yr	15 Spaces	The three-story building has ample visitor parking, 24- hour access through garage and keypad. Direct access to Katy Trail. 300+ steps to restaurants: Katy Trail Ice House and Company Caf_.
2931 North Sam Houston Parkway Houston, TX 77043	29.937991	-95.467396	Office	Office	Office Building	120,000 SF Bldg	20,000 SF	$2,116.67	$23.50 /SF/Yr	6 Spaces	Phase II
3 Riverway, Houston, TX 77056	29.760576	-95.461646	Office	Office	Office Building	398,413 SF Bldg	4,672 SF	$494.45	$17 /SF/Yr	1 Space	Class A campus setting with numerous on-site amenities and adjacent to the Omni Hotel. Close proximity to Uptown Park and The Galleria.
3 Riverway, Houston, TX 77056	29.760576	-95.461646	Office	Office	Office Building	398,413 SF Bldg	896 - 12,178 SF	$94.83 - $1,288.84	$20 - 22 /SF/Yr	17 Spaces	Three Riverway Office Tower, tucked away in a quiet park-like setting, boasts high end finishes. This unique property is located in undeniably one of the most attractive areas of Houston.
3003 Aniol, San Antonio, TX 78219	29.434906	-98.439298	Warehouse and Storage	Industrial	Warehouse	78,032 SF Bldg	78,032 SF	$3,121.28	Negotiable	1 Space	Office warehouse multi-use property located on +/- 7.748 acres. Includes grade & dock doors with fenced outside. NE cluster in I-2 zone designated for the heavy industrial district. Access to IH 35, Loop 410 & IH 10.
301 Congress Avenue, Austin, TX 78701	30.265446	-97.742994	Office	Office	Office Building	446,839 SF Bldg	5,651 SF	$598.06	$18 /SF/Yr	1 Space	Features a newly renovated Health Club and a building conference room that seats approximately 150. CBD, adjacent to the JW Marriott.
3040 Post Oak Boulevard Houston, TX 77056	29.734955	-95.462823	Office	Office	Office Building	426,009 SF Bldg	3,597 - 19,602 SF	$380.68 - $2,074.55	$27 /SF/Yr	7 Spaces	As one of Houston' s most sought-after Class A properties, 3040 Post Oak is the setting for success-driven. 3040 Post Oak provides unmatched, access to both U.S. Highway 59 and the 610 West Loop.
3050 Post Oak Boulevard Houston, TX 77056	29.733854	-95.462847	Office	Office	Office Building	338,655 SF Bldg	1,051 - 11,272 SF	$111.23 - $1,192.95	$23 /SF/Yr	17 Spaces	The Lakes on Post Oak consists of three buildings. The Property is located in the heart of Houston' s Galleria/West Loop submarket.
3130 E Central Texas Expy, Killeen, TX 76543	31.086182	-97.711279	Retail	Retail	Retail (Other)	4,900 SF Bldg	2,500 SF	$247.92	$38 /SF/Yr	1 Space	Brand new hard corner outlot development. Huge visibility on E Central Expressway Tremendous cotenancy with development.
3151 Briarpark Drive, Houston, TX 77042	29.73128	-95.548277	Office	Office	Office Building	302,551 SF Bldg	8,202 SF	$868.05	Negotiable	1 Space	Fitness Center with Secure Men's and Women's Showers; LEED Gold Certification; On- site Cafe'/Catering. Located in the Westchase District; William P. Hobby Airport is a 37- minute drive (27.6 miles).
3151 E. Pioneer Parkway, Arlington, TX 76010	32.712762	-97.052311	Warehouse and Storage	Industrial	Warehouse	229,400 SF Bldg	229,400 SF	$9,176.00	$3.75 /SF/Yr	1 Space	Class A facility; ESFR sprinkler system; rail served by Union Pacific (7 rail doors); cross- dock. Immediate access to SH-360 via E Pioneer.
319 W. Slaughter Lane, Austin, TX 78748	30.16861	-97.795965	Office	Office	Office Building	5,730 SF Bldg	1,793 SF	$189.76	$27 /SF/Yr	1 Space	South Austin move in ready space. Furniture and guest parking spots are available. This building is a LEED. Located in South Austin.
3200 Kirby, Houston, TX 77098	29.736009	-95.419379	Office	Office	Office Building	185,000 SF Bldg	6,248 - 21,181 SF	$661.25 - $2,241.66	$32.50 /SF/Yr	11 Spaces	 
3201 Awesome Ln. Deer Park, TX 77536	29.673473	-95.087668	Warehouse and Storage	Industrial	Distribution Warehouse	20,000 SF Bldg	20,000 SF	$800.00	Negotiable	1 Space	4,000 SF of office, outside storage available, sprinklered, (20) ton crane ready, 28' eave height. Located off Underwood Rd., South of Hwy 225.
323 Congress Ave, Austin, TX 78701	30.2658	-97.743188	Retail	Retail	Street Retail	21,900 SF Bldg	7,261 SF	$720.05	Negotiable	1 Space	Premier location for retail, restaurant or office users. Historic building built in 1909. Located in the heart of downtown Austin.
3230 McKinney Ave, Dallas, TX 75204	32.803133	-96.799679	Retail	Retail	Restaurant	16,340 SF Bldg	5,600 SF	$555.33	Negotiable	1 Space	Uptown Location. Front door to M-Line Trolley. Join Cafe Express. Rare Opportunity. Located at McKinney Ave & Bowen St.
3340-D Greens Rd. Houston, TX 77032	29.951396	-95.33614	Warehouse and Storage	Industrial	Distribution Warehouse	28,750 SF Bldg	28,750 SF	$1,150.00	$6.60 /SF/Yr	1 Space	Two office pods (1,500 & 2,750 SF), Shallow cross- dock configuration, 23' clear height, column-free. Located at the entrance into Bush Intercontinental Airport.
3401 South Lamar Blvd, Austin, TX 78704	30.24056	-97.786064	Retail	Retail	Street Retail	20,079 SF Bldg	1,098 - 2,382 SF	$108.89 - $236.22	$32 /SF/Yr	2 Spaces	Mixed-use project anchored by Broke Spoke with 20,000 sf of retail, 378 apartment unites. Located along South Lamar Boulevard, one of the hottest retail streets in Austin.
3501 Ed Bluestein Blvd, Austin, TX 78721	30.273062	-97.66373	Office	Office	Office Building	150,000 SF Bldg	49,100 SF	$5,196.42	$17.50 /SF/Yr	1 Space	Office/flex space. Plug n Play. Furniture Included. Open layout with perimeter offices. Conference room. Located in east submarket.
3555 Timmons Lane, Houston, TX 77027	29.734311	-95.435669	Office	Office	Office Building	225,895 SF Bldg	1,556 - 5,578 SF	$164.68 - $590.34	$19 /SF/Yr	7 Spaces	All office spaces feature 9 foot ceilings, full-height solid core doors and parabolic lighting fixtures. Adjacent to Greenway Plaza, Maxim's, the Houston City Club, The Summit and the Underground.
3707 Greenville Ave, Dallas, TX 75202	32.831975	-96.770516	Retail	Retail	Free Standing Bldg	2,274 SF Bldg	2,274 SF	$2,605.70	$35 /SF/Yr	1 Space	No night club. Day Use only. Great site for medical with off-site parking. NEC Greenville & Martel.
3720 Gattis School Road, Round Rock, TX 78664	30.498664	-97.615714	Retail	Retail	Power Center	34,756 SF GLA	2,684 SF	$266.16	Negotiable	1 Space	Located at the northwest corner of Gattis School Rd & Red Bud Ln. This neighborhood center is anchored by H-E-B and has a good mix of restaurants and retail.
3736 - 3838 Altamesa Blvd, Fort Worth, TX 76133	32.651672	-97.375501	Retail (Mall)	Retail	Strip Center	54,200 SF GLA	1,600 - 17,400 SF	$258.67 - $2,813.00	Negotiable	7 Spaces	Shopping Center. Altamesa Blvd & McCart Ave, Fort Worth TX.
3800 North Lamar Blvd, Austin, TX 78756	30.305966	-97.743082	Retail	Retail	Street Retail	33,057 SF Bldg	440 - 3,991 SF	$43.63 - $395.77	Negotiable	8 Spaces	Join Kendra Scott Design at 3800 Lamar in a new 163,000 square foot Class-A mixed use development. High-traffic central Austin location anchored by the Seton Medical complex and Austin Heart Hospital.
3801 Berkman Dr, Austin, TX 78722	30.290662	-97.69817	Retail	Retail	Street Retail	4,825 SF Bldg	672 SF	$66.64	Negotiable	1 Space	201-unit, 4-story urban apartment community, offering 4,825 sq. ft. of urban retail and office space. Located inside the Tower District within the Mueller. Development in East Central Austin.
3990 Dowlen Road Beaumont, TX 77706	30.117052	-94.166611	Retail	Retail	Power Center	109,786 SF GLA	2,700 SF	$267.75	Negotiable	1 Space	Located in the Heart of Beaumont' s Retail Synergy at the Heavily Trafficked Intersection. NEC of Dowlen Road and Folsom Drive
400 E. Las Colinas Blvd., Irving, TX 75039	32.862414	-96.93543	Office	Office	Office Building	238,051 SF Bldg	9,235 SF	$977.37	$23 /SF/Yr	1 Space	16 offices, Reception, 2 Conference Rooms, 1 Training Room, Break Room, IT closet, Open Area. Built in 1983, Renovated in 2010.
4000-4040 N. MacArthur Blvd., Irving, TX 75014	32.861072	-96.958691	Retail	Retail	Community Center	132,000 SF GLA	1,624 - 3,300 SF	$161.05 - $327.25	Negotiable	7 Spaces	Tom Thumb anchored center. MacArthur & Northgate, Irving, TX.
4017 Lancaster Blvd, Dallas, TX 75216	32.7	-96.79691	Retail	Retail	Free Standing Bldg	25,532 SF Bldg	25,532 SF	$2,531.92	Negotiable	1 Space	Former Moseley Building. At Lancaster Rd and Loop 12.
402-404 E Ramsey San Antonio, TX 78216	29.527285	-98.489856	Office	Office	Office Building	27,475 SF Bldg	691 - 1,610 SF	$73.13 - $170.39	$19.50 /SF/Yr	5 Spaces	Garden-style offices with attractive landscaping throughout on-site property. Less than 5 minutes from San Antonio International airport. Immediate access to Hwy.
4030 W Braker Lane, Austin, TX 78759	30.398262	-97.73699	Office	Office	Office Building	123,761 SF Bldg	3,576 - 11,084 SF	$378.46 - $1,173.06	$18 /SF/Yr	4 Spaces	Stonelake is a five building office park consisting of 123,761 square feet. Located within Austin' s high growth technology focused Northwest submarket strategically placed.
405 113th Street, Arlington, TX 76011	32.746178	-97.043751	Warehouse and Storage	Industrial	Warehouse	30,000 SF Bldg	30,000 SF	$1,200.00	Negotiable	1 Space	Abundant parking; 1200 amp, 277/480 volt, 3 phase; 41' x 30' column spacing; professionally owned. Prime location, easily accessible from I-30 and SH- 360.
410 W Grand Pkwy Katy, TX 77494	29.775949	-95.779672	Office	Office	Office Building	59,656 SF Bldg	15,445 SF	$1,634.60	$24 /SF/Yr	1 Space	On-site restaurants and retail. On-site management and maintenance. Located just north of Cinco Ranch. Direct access to Hwy 99 and easy access to I-10.
418, 439 & 3131 SE Loop 410, San Antonio, TX 78220	29.398496	-98.649964	Warehouse and Storage	Industrial	Warehouse	2,500,000 SF Bldg	500,000 -	$20,000.00	Negotiable	3 Spaces	50,000 SF to 2.5MM SF of proposed industrial build-to- suit for lease. Located one mile south of I-10 with frontage on Loop 410.
4200 Regent, rving, TX 75063	32.926243	-97.002416	Office	Office	Office Building	166,926 SF Bldg	26,877 - 29,569 SF	$2,844.48 - $3,129.39	$16 /SF/Yr	2 Spaces	55,548 SF Available For Lease With Avg Rent Of $16.00/SF/Yr.
4250 North Freeway, Fort Worth, TX 76137	32.818134	-97.310982	Office	Office	Office Building	73,734 SF Bldg	14,985 SF	$1,585.91	Negotiable	1 Space	Mercantile Tech II Building, 14,985 RSF (Divisible), Sublease available through June, 2018, Signage available. Located on I-35W, 1/2 mile south of I- 820 N, just minutes from Dallas/Fort Worth International (DFW).
4341 CentrePort Drive, Fort Worth, TX 76155	32.82646	-97.055522	Warehouse and Storage	Industrial	Distribution Warehouse	134,340 SF Bldg	80,607 SF	$3,224.28	$4.25 /SF/Yr	1 Space	Cambridge heaters; roof-mounted exhaust fans w/minimum 3 air changes per hour; rear dock. Adjacent to South Entrance of DFW International Airport; Equidistant from Dallas & Fort Worth.
4350 Lockhill Selma San Antonio, TX 78249	29.578932	-98.56668	Office	Office	Office Building	116,545 SF Bldg	11,754 - 18,125 SF	$1,243.97 - $1,918.23	$18 /SF/Yr	2 Spaces	Shell building complete. Class A finishes. Up to 6:1,000 parking. Various spaces available. Located on Lockhill- Selma Rd., one mile inside Loop 1604 at DeZavala. Ten minutes from San Antonio.
4613 Bee Caves Road, Austin, TX 78746	30.287221	-97.815601	Office	Office	Office Building	30,000 SF Bldg	700 SF	$74.08	Negotiable	1 Space	Day care facility. Fitness center. Food court. On-site management. Within The Hills Health Club and Wellness Center campus. In the heart of Westlake on Bee Cave Road.
4615 Langdon, Dallas, TX 75241	32.648384	-96.745624	Warehouse and Storage	Industrial	Distribution Warehouse	488,565 SF Bldg	488,565 SF	$19,542.60	$3.55 /SF/Yr	1 Space	State of the Art 488,565 SF Cross Dock building. Commerce 20 is Strategically Located Near I-20 and Bonnie View Road in Dallas, Texas.
4629 Diplomacy Road, Fort Worth, TX 76155	32.831887	-97.038026	Warehouse and Storage	Industrial	Distribution Warehouse	120,279 SF Bldg	37,959 SF	$1,518.36	$4.50 /SF/Yr	1 Space	2 Cambridge heaters; 7 roof- mounted exhaust fans w/ minimum 3 air changes per hour. Adjacent to South Entrance of DFW International; equidistant from Dallas and Ft Worth.
4630 McKinney Ave, Dallas, TX 75205	32.82382	-96.786593	Retail	Retail	Street Retail	14,000 SF Bldg	14,000 SF	$1,388.33	Negotiable	1 Space	14,000 SF Retail and Restaurant Space below 202 luxury residential units. Between Knox St & Hester Ave.
4675 Railhead Road Fort Worth, TX 76106	32.835729	-97.357017	Warehouse and Storage	Industrial	Distribution Warehouse	428,400 SF Bldg	128,400 SF	$5,136.00	Negotiable	1 Space	128,400sf Industrial Distribution, 10,000sf of office, 30' clear height, 16 docks (9' x 10') with (4) grade. Railhead Industrial Park: 4675 Railhead Road, Fort Worth, TX 76106.
480 Wildwood Forest Drive, The Woodlands, TX 77380	30.122769	-95.444003	Office	Office	Office Building	205,000 SF Bldg	19,983 - 27,127 SF	$2,114.87 - $2,870.94	$27 /SF/Yr	8 Spaces	Class A 8-Story office building under construction with occupancy in July 2016.  The building is located in The Woodlands with multiple parks, hotels, Woodlands Waterway.
4801 Woodway Drive, Houston, TX 77056	29.763494	-95.460034	Office	Office	Office Building	220,583 SF Bldg	903 - 44,617 SF	$95.57 - $4,721.97	"$26.50 - 26.80 /SF/Yr"	15 Spaces	The building is designed around six beautifully decorated atriums. Each atrium is two stories. The building is located four blocks from the Galleria on the south side of Woodway.
4845 Homestead Rd., Houston, TX 77028	29.805261	-95.304049	Warehouse and Storage	Industrial	Warehouse	103,411 SF Bldg	103,411 SF	$4,136.44	$0.36 /SF/Yr	1 Space	Property Features: (+/-)75,192 Total SF or up to ((+/-)103,411 SF), (+/-)7,100 Total SF office, (+/-)4,000 SF Main Office Easy access to the 610 loop, I-10, Highway 59, and Interstate 45
4900 Airport Freeway, Fort Worth, TX 76117	32.778093	-97.276597	Warehouse and Storage	Industrial	Manufacturing	514,063 SF Bldg	514,063 SF	$20,562.52	Negotiable	1 Space	Office/HVAC Manufacturing & Warehouse Space - (+/-)514,063 SF total Building Area.
4950 Terminal St., Bellaire, TX 77401	29.725253	-95.462187	Warehouse and Storage	Industrial	Warehouse	22,250 SF Bldg	12,250 SF	$490.00	$7.20 /SF/Yr	1 Space	(+/-) 2,000 SF Office and (+/-) 10,250 SF Warehouse. Easy access to Highway 59 & the 610 Loop.
500 Crawford Street, Houston, TX 77002	29.757889	-95.357153	Retail	Retail	Street Retail	9,705 SF Bldg	3,463 - 6,242 SF	$343.41 - $619.00	Negotiable	2 Spaces	9,705 SF of Retail Space Available at 500 Crawford Street. Adjacent to Minute Maid Park.
500 W 2nd Street Austin, TX 78701	30.265938	-97.748865	Office	Office	Office Building	500,436 SF Bldg	12,882 - 33,931 SF	$1,363.35 - $3,591.03	$36 - 36.50 /SF/Yr	10 Spaces	500 West 2nd Street is an exciting mixed-use, urban development located in the Central Business. Located at the NW corner of Cesar Chavez and San Antonio.
500 W. 5th Street Austin, TX 78701	30.268841	-97.748163	Office	Office	Office Building	195,378 SF Bldg	4,900 SF	$518.58	$32 /SF/Yr	1 Space	Plug and Play with modern systems and conference furniture. Variety of different size closed meeting. CBD. Within walking distance of Whole Foods, numerous restaurants and nightlife.
5000 Slaughter Lane, Austin, TX 78749	30.20052	-97.864007	Office	Office	Medical Office	7,227 SF Bldg	7,227 SF	$764.86	$28 /SF/Yr	1 Space	Medical Office Space on W Slaughter Lane.
5001 Spring Valley Rd, Dallas, TX 75244	32.940041	-96.823597	Office	Office	Office Building	510,529 SF Bldg	2,573 SF	$272.31	$29 /SF/Yr	1 Space	Providence Towers - West. NWC of Dallas North Tollway and Spring Valley Road.
504 Lavaca Street, Austin, TX 78701	30.268205	-97.745995	Office	Office	Office Building	118,635 SF Bldg	11,199 SF	$1,185.23	$29 /SF/Yr	1 Space	Open configuration with great west views and fresh finish out. Recently added tenant lounge. Prime CBD Office Space.
5080 Spectrum Drive, Addison, TX 75001	32.954968	-96.823418	Office	Office	Office Building	598,250 SF Bldg	23,427 SF	$2,479.36	$25 /SF/Yr	1 Space	Class A, 4-Star Office. 24-hour security and card- key access. Amenities include banking and day care. Within minutes of over 40 restaurants and is in close proximity to hotels and the Dallas North Tollway.
5109 Tanya Avenue, McAllen, TX 78503	26.157967	-98.284805	Warehouse and Storage	Industrial	Distribution Warehouse	181,174 SF Bldg	30,120 SF	$1,204.80	$3.84 /SF/Yr	1 Space	Class A modern facility in McAllen's most desirable business/distribution location. Access to the Anzalduas International Bridge within minutes, with easy access to McAllen.
5200 George McVay, McAllen, TX 78503	26.153509	-98.287429	Warehouse and Storage	Industrial	Distribution Warehouse	126,000 SF Bldg	26,276 SF	$1,051.04	$3.84 /SF/Yr	1 Space	Class A warehouse facility, with 131 parking spaces for the entire building.. One of McAllen's most desirable business/distribution locations with easy access to McAllen International.
